date,account,description,amount,direction,category,source_file,notes
2025-06-17,3373,OPENAI OPENAI.COM CA,5.32,out,Software & Subscriptions,20250822-statements-3373-.pdf,OpenAI API usage
2025-06-17,3373,"REPLIT, INC. REPLIT.COM CA",26.65,out,Software & Subscriptions,20250822-statements-3373-.pdf,Replit developer platform monthly
2025-07-14,3373,SQSP* INV190016762 SQUARESPACE.C NY (724.88 THB @ 0.030956848),22.44,out,Software & Subscriptions,20250922-statements-3373-.pdf,Squarespace monthly
2025-07-15,3373,FOREIGN TRANSACTION FEE (Squarespace THB),0.67,out,Bank/Card Fees,20250922-statements-3373-.pdf,
2025-07-16,3373,AUTOMATIC PAYMENT - THANK YOU,55.12,in,Credit card payment (from unknown account),20250922-statements-3373-.pdf,CC autopay inbound; funding source not in data
2025-07-17,3373,"REPLIT, INC. REPLIT.COM CA",26.65,out,Software & Subscriptions,20250922-statements-3373-.pdf,Replit monthly
2025-08-14,3373,SQSP* WEBSIT#194340094 SQUARESPACE.C NY (724.88 THB @ 0.031053415),22.51,out,Software & Subscriptions,20251022-statements-3373-.pdf,Squarespace monthly
2025-08-15,3373,AUTOMATIC PAYMENT - THANK YOU,49.76,in,Credit card payment (from unknown account),20251022-statements-3373-.pdf,CC autopay inbound
2025-08-15,3373,FOREIGN TRANSACTION FEE (Squarespace THB),0.67,out,Bank/Card Fees,20251022-statements-3373-.pdf,
2025-08-17,3373,"REPLIT, INC. REPLIT.COM CA",26.65,out,Software & Subscriptions,20251022-statements-3373-.pdf,Replit monthly
2025-08-18,3373,PAYPAL *CJONESMEDIA 402-935-7733 CA,3000.00,out,Contractor / Professional Services,20251022-statements-3373-.pdf,PayPal payment to CJONESMEDIA (402 area code = Omaha NE) - content/media vendor
2025-09-14,3373,SQSP* WEBSIT#200933309 SQUARESPACE.C NY (724.88 THB @ 0.031605231),22.91,out,Software & Subscriptions,20251122-statements-3373-.pdf,Squarespace monthly
2025-09-15,3373,FOREIGN TRANSACTION FEE (Squarespace THB),0.68,out,Bank/Card Fees,20251122-statements-3373-.pdf,
2025-09-16,3373,AUTOMATIC PAYMENT - THANK YOU,3049.83,in,Credit card payment (from unknown account),20251122-statements-3373-.pdf,CC autopay
2025-09-17,3373,PAYPAL *CJONESMEDIA 402-935-7733 CA,2410.00,out,Contractor / Professional Services,20251122-statements-3373-.pdf,
2025-09-17,3373,"REPLIT, INC. REPLIT.COM CA",26.65,out,Software & Subscriptions,20251122-statements-3373-.pdf,Replit monthly
2025-10-13,3373,PAYPAL *CJONESMEDIA 402-935-7733 CA,2710.00,out,Contractor / Professional Services,20251222-statements-3373-.pdf,
2025-10-14,3373,SQSP* WEBSIT#205216080 SQUARESPACE.C NY (724.88 THB @ 0.030791303),22.32,out,Software & Subscriptions,20251222-statements-3373-.pdf,Squarespace monthly
2025-10-14,3373,FOREIGN TRANSACTION FEE (Squarespace THB),0.66,out,Bank/Card Fees,20251222-statements-3373-.pdf,
2025-10-16,3373,AUTOMATIC PAYMENT - THANK YOU,2460.24,in,Credit card payment (from unknown account),20251222-statements-3373-.pdf,CC autopay
2025-10-17,3373,"REPLIT, INC. REPLIT.COM CA",26.65,out,Software & Subscriptions,20251222-statements-3373-.pdf,Replit monthly
